id,date,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,fighter_age,opponent_age
40,9227,0.0,-12.0,-1.0,0.0,0.0,0,1,1,0,0,0,1825.0,984.1375058108713,1018.848468448601,1,0,0,0,0,0,0,0,0,0,0.0,6.666666666666667,0.3333333333333333,-0.3333333333333333,0.6666666666666666,2,0,3,2,1,0,1825.0,1018.848468448601,1010.9106154624291,2,0,0,1,0,0,0,0,0,0,loss,KO/TKO,1,,
41,9227,0.0,0.0,0.0,0.0,1.0,2,0,2,2,0,0,1825.0,1031.7448857096363,989.6702823204134,0,0,1,1,0,0,0,0,0,0,0.0,-2.3333333333333335,1.3333333333333333,0.3333333333333333,0.8333333333333334,4,0,6,5,2,1,4327.0,1065.2222523627818,1017.3883999606497,0,0,3,3,0,0,0,0,0,0,loss,SUB,1,,-4225
42,9227,0.0,0.6666666666666666,0.3888888888888889,1.1666666666666667,1.0,18,0,18,18,4,4,1106.0,1203.8732394366598,990.0627536641257,1,0,9,8,0,0,0,0,0,0,0.0,1.25,0.75,0.5,0.75,6,0,8,6,0,0,2043.0,1063.5892022255207,999.2052917004299,1,1,3,3,0,0,0,0,0,0,draw,Other,2,-1116,-2151
43,9227,0.0,15.0,0.0,0.0,1.0,1,0,1,1,0,0,1825.0,1016.0,984.0,0,1,0,0,0,0,0,0,0,0,0.0,-15.0,0.0,0.0,0.0,0,1,1,0,0,0,1555.0,984.0,1016.0,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,1657
44,9227,0.0,-2.5,0.0,0.5,0.5,1,0,2,1,0,0,1825.0,1000.1372477443227,993.1104073643916,1,0,0,1,0,0,0,0,0,0,0.0,8.0,0.5,-0.25,0.75,3,0,4,3,1,0,1825.0,1033.2552667343678,1000.6156384780979,2,1,0,1,0,0,0,0,0,0,loss,KO/TKO,1,,
45,9227,0.0,-4.333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,3,1,0,0,1825.0,985.6577863853746,1011.3185142740331,1,1,0,1,0,0,0,0,0,0,0.0,-3.0,-1.0,-1.0,0.0,0,1,1,0,0,0,1825.0,983.2348404693108,1000.1372477443227,0,0,0,1,0,0,0,0,0,0,win,SUB,1,,
46,9227,-0.3333333333333333,10.666666666666666,0.6666666666666666,0.0,1.0,3,0,3,3,0,0,833.0,1045.1281248226185,979.6239583924604,1,2,0,0,0,0,0,0,0,0,-1.0,-12.0,0.0,0.0,0.0,0,1,1,0,0,0,1825.0,985.4023736484061,1045.1281248226185,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,-731,
47,9227,0.0,-1.8571428571428572,1.2857142857142858,0.42857142857142855,0.8571428571428571,5,0,7,6,2,1,4327.0,1079.6853162246007,1017.3731745159595,0,0,3,4,0,0,0,0,0,0,0.0,8.0,0.6,-0.2,0.8,4,0,5,4,1,0,1825.0,1047.7347280933159,997.6240680595532,2,2,0,1,0,0,0,0,0,0,win,SUB,1,-4225,
48,9227,0.0,-9.0,-1.0,0.0,0.0,0,1,1,0,0,0,961.0,988.2355807118737,1105.9824903193426,1,0,0,0,0,0,0,0,0,0,0.0,-0.4444444444444444,1.2222222222222223,0.4444444444444444,0.8888888888888888,7,0,9,8,3,2,4327.0,1105.9824903193426,1015.8944195122544,1,0,4,4,0,0,0,0,0,0,loss,KO/TKO,1,-859,-4225
49,9227,0.0,2.0,0.0,-1.0,0.0,0,1,1,0,0,0,1825.0,982.9634274238326,994.4961141163978,0,0,1,0,0,0,0,0,0,0,0.0,-6.666666666666667,-0.6666666666666666,0.3333333333333333,0.3333333333333333,1,0,3,1,0,0,961.0,994.4961141163978,1068.5681490780537,1,1,1,0,0,0,0,0,0,0,loss,SUB,1,,-859
50,9325,0.0,6.666666666666667,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0,1,6,4,2,0,1825.0,1033.2019732867004,1013.7230685548303,2,2,1,1,0,0,0,0,0,0,0.0,-7.0,-0.8,1.0,0.6,3,0,5,3,1,1,1059.0,1025.506420199272,1031.5315137150242,1,1,1,2,0,0,0,0,0,0,loss,SUB,1,,-859
51,9325,0.0,5.333333333333333,-1.3333333333333333,-0.6666666666666666,0.3333333333333333,1,0,3,1,0,0,1825.0,988.1036935406696,1018.8555465191707,0,1,1,1,0,0,0,0,0,0,0.0,-6.666666666666667,-0.8333333333333334,1.0,0.6666666666666666,4,0,6,4,1,1,1059.0,1041.86075557148,1029.084201081602,1,1,1,3,0,0,0,0,0,0,loss,SUB,1,,-859
52,9325,0.0,4.0,-1.0,-0.75,0.25,0,1,4,1,0,0,1825.0,974.5597298496712,1027.9928397049976,0,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1825.0,982.656633330806,988.1036935406696,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
53,9325,-2.0,-7.0,0.0,0.0,0.0,0,1,1,0,0,0,1825.0,984.0540650123213,1017.119946281764,1,0,0,0,0,0,0,0,0,0,0.6666666666666666,11.0,1.0,-1.0,0.6666666666666666,2,0,3,2,1,0,1825.0,1017.119946281764,997.6150876530291,2,0,0,1,0,0,0,0,0,0,loss,KO/TKO,1,,
54,9325,0.0,0.5,1.2,0.4,0.9,8,0,10,9,3,2,4327.0,1116.758529490986,1012.0509317150521,1,1,4,4,0,0,0,0,0,0,0.0,1.8888888888888888,0.7777777777777778,0.4444444444444444,0.6666666666666666,6,0,9,6,1,0,2253.0,1069.7199225399738,1021.2649836361829,1,1,3,3,0,0,0,0,0,0,loss,SUB,1,-4225,-2151
55,9325,0.125,2.875,-0.125,0.0,0.625,5,0,8,5,1,0,2518.0,1040.06308257512,1006.7879834905466,1,1,2,4,0,0,0,0,0,0,-1.0,-6.0,-2.0,-1.0,0.0,0,1,1,0,0,0,1825.0,985.1595069255588,1040.06308257512,0,0,0,1,0,0,0,0,0,0,win,SUB,1,-2318,
56,9325,0.0,0.0,0.0,0.0,1.0,1,0,1,1,0,0,1825.0,1016.0,984.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1825.0,984.0,1016.0,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
57,9325,0.0,-5.714285714285714,-0.7142857142857143,1.0,0.7142857142857143,5,0,7,5,1,1,1059.0,1055.4047192624785,1021.294990905612,1,1,1,4,0,0,0,0,0,0,1.0,10.0,0.75,-0.75,0.75,3,0,4,3,1,0,1825.0,1031.6017870207286,990.6043718081111,2,1,0,1,0,0,0,0,0,0,win,SUB,1,-859,
58,9325,0.0,-13.0,-1.0,0.0,0.0,0,1,1,0,0,0,1825.0,983.2847777474942,1001.1740112940853,1,0,0,0,0,0,0,0,0,0,0.8,10.6,1.0,-1.2,0.6,0,1,5,3,2,0,1825.0,1016.6962407612889,1006.5455505508726,2,1,1,1,0,0,0,0,0,0,loss,KO/TKO,1,,
59,9325,-1.0,1.0,0.0,0.0,0.0,0,1,1,0,0,0,1825.0,982.567891304253,986.2508155563484,1,0,0,0,0,0,0,0,0,0,0.3333333333333333,-9.0,-0.6666666666666666,0.0,0.3333333333333333,1,0,3,1,0,0,1825.0,986.2508155563484,1004.9680714155066,2,1,0,0,0,0,0,0,0,0,loss,KO/TKO,1,,
60,9381,0.0,0.0,-1.0,-2.0,0.0,0,1,1,0,0,0,1825.0,984.0958424374642,1017.9853745416079,0,0,0,1,0,0,0,0,0,0,0.5,1.0,-1.0,0.5,0.5,1,0,4,2,2,0,1825.0,1001.3386091039505,999.4812710256318,2,2,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
61,9381,0.0,1.0,0.0,-2.0,0.0,0,1,1,0,0,0,1825.0,984.0,1016.0,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,0.0,2.0,1.0,1,0,1,1,0,0,1825.0,1016.0,984.0,0,0,1,0,0,0,0,0,0,0,loss,SUB,1,,
62,9381,0.0,2.4,0.2,0.0,0.6,2,0,5,3,0,0,1825.0,1026.9693015542166,1044.6173330023325,1,0,2,2,0,0,0,0,0,0,0.0,-5.0,1.0,2.0,1.0,1,0,1,1,0,0,3521.0,1014.500659054333,952.8457603890937,0,0,0,1,0,0,0,0,0,0,loss,SUB,1,,-3265
63,9381,0.0,0.0,-1.0,-1.0,0.0,0,1,1,0,0,0,1825.0,984.4785805593269,1025.9167651702846,0,0,1,0,0,0,0,0,0,0,0.0,1.4285714285714286,0.42857142857142855,0.14285714285714285,0.5714285714285714,1,0,7,4,0,0,1825.0,1025.9167651702846,1034.091408635704,1,0,3,3,0,0,0,0,0,0,loss,SUB,1,,
64,9381,0.0,0.0,0.0,0.0,1.0,1,0,1,1,0,0,1825.0,1016.0,984.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1825.0,984.0,1016.0,0,1,0,0,0,0,0,0,0,0,win,KO/TKO,1,,
65,9381,0.0,-1.5,0.0,1.0,1.0,2,0,2,2,0,0,3521.0,1031.074614878938,981.6205530593527,0,0,0,2,0,0,0,0,0,0,0.3333333333333333,-4.0,0.0,0.3333333333333333,0.6666666666666666,4,0,6,4,0,0,1825.0,1033.157856477228,991.7608441049821,2,3,0,1,0,0,0,0,0,0,win,KO/TKO,1,-3265,
66,9381,0.3333333333333333,6.666666666666667,0.0,0.3333333333333333,1.0,3,0,3,3,1,1,3521.0,1047.170550550214,993.4343423082191,1,0,0,2,0,0,0,0,0,0,0.0,-0.3333333333333333,-1.0,-1.3333333333333333,0.0,0,3,3,0,0,0,1825.0,952.8457603890937,1005.3947047366382,0,0,1,2,0,0,0,0,0,0,win,SUB,1,-3265,
67,9381,0.0,1.7,0.7,0.6,0.7,7,0,10,7,2,1,2351.0,1087.8729913059472,1028.999031345066,1,1,3,4,0,0,0,0,0,0,0.0,-6.625,-0.875,1.25,0.75,6,0,8,6,2,2,1059.0,1070.3102655219182,1020.7201471375716,1,1,2,4,0,0,0,0,0,0,draw,Other,2,-2151,-859
